provinceName,move_in,move_out
广东省,19.81,13.39
湖南省,6.44,8.84
山东省,5.98,6.56
四川省,5.91,6.96
江苏省,5.11,5.05
河南省,4.81,5.92
云南省,4.09,3.95
河北省,3.7,4.7
安徽省,3.66,5.06
辽宁省,3.53,3.45
北京市,3.08,1.21
广西壮族自治区,3.04,4.3
上海市,3.03,0.88
福建省,2.83,2.8
浙江省,2.73,1.79
贵州省,2.56,2.84
山西省,2.36,2.73
湖北省,2.12,2.03
陕西省,1.89,2.18
内蒙古自治区,1.85,1.91
吉林省,1.45,1.67
甘肃省,1.37,1.4
海南省,1.36,1.61
江西省,1.29,2.8
黑龙江省,1.05,1.36
天津市,0.99,0.6
重庆市,0.99,1.13
宁夏回族自治区,0.66,0.64
新疆维吾尔自治区,0.64,0.68
青海省,0.62,0.52
西藏自治区,0.21,0.18
