cityName-en,exp_aic,powerlaw_aic,provinceName-en
Qitaihe,-13.950285286068846,-15.286509396972688,Heilongjiang
Wanning,0.8924985541058884,-0.20199076695763696,Hainan
Sanya,4.358593043629765,4.368811957771638,Hainan
Sanming,-15.395375099526388,-15.338258149499323,Fujian
Shanghai,1.685663647056161,-6.148701726140003,Shanghai
Shangrao,0.22167753617989783,2.887714903098883,Jiangxi
Dongfang,-125.77574605116011,-123.98042384506498,Hainan
Dongguan,1.4891325609122759,-1.1256791667251975,Guangdong
Zhongshan,-0.6858862974355576,0.7418101921609773,Guangdong
Linxiahuizuzizhizhou,-129.13477226779636,-131.91753912905108,Gansu
Linyi,0.8793144964466156,0.8724968455849881,Shandong
Lingao,-10.774589812996277,-14.292129152851272,Hainan
Dandong,-2.5766074281274016,0.14521879097834078,Liaoning
Lishui,4.771964335998794,4.387448962411707,Zhejiang
Wulumuqi,1.0971333825969913,0.2772125386518146,Xinjiangweiwuerzizhi
Jiujiang,7.62811645612867,5.050977165053614,Jiangxi
Bozhou,-4.8164308098680015,-0.9219822204353024,Anhui
Xiantao,-4.3991147997884275,3.0490510883242705,Hubei
Yilihasakezizhizhou,-9.585590489394312,-9.748613634251944,Xinjiangweiwuerzizhi
Foshan,8.641950298119562,8.841897478844809,Guangdong
Jiamusi,-9.271225401571096,-9.13918578679849,Heilongjiang
Baoding,8.180139520780367,8.51263089118242,Hebei
Baoshan,-130.49083935329614,-128.11515250850405,Yunnan
Xinyang,5.02368785791105,7.162857551922785,Henan
Danzhou,-0.12402397323328407,0.3852353527244444,Hainan
Gongzhuling,5.092720277915459,4.966526322948403,Jilin
Luan,8.825403818257909,6.20958187482356,Anhui
Liupanshui,-130.93712645592458,-133.18498664922936,Guizhou
Lanzhou,4.757409588124884,4.708562307825717,Gansu
Neijiang,-1.6273263479114441,-1.694528206310475,Sichuan
Liangshanyizuzizhizhou,-0.3261291058892303,-0.2790966572284971,Sichuan
Baotou,-0.6297089378373292,-1.1740525496085792,Neimengguzizhi
Beijing,19.337558487999658,13.365574986240249,Beijing
Beihai,-0.05336429229174888,-0.32947517617255306,Guangxizhuangzuzizhi
Shiyan,-5.69344210076587,0.4720929984720582,Hubei
Nanjing,2.1614104491199533,5.246900866273681,Jiangsu
Nanchong,11.857804831002271,10.813867766775447,Sichuan
Nanning,9.629044492559588,8.954887424841418,Guangxizhuangzuzizhi
Nanping,0.32725043158275235,0.41515276146616864,Fujian
Nanchang,7.866074803260639,7.0085000786626575,Jiangxi
Nantong,29.452659444592932,29.79415777683905,Jiangsu
Nanyang,18.723450679132025,15.261222083813712,Henan
Xiamen,-1.2215235775310647,-1.1945603705016183,Fujian
Shuangyashan,11.076512266218371,10.541930046727485,Heilongjiang
Taizhou,-6.630206613101328,-4.998749784810214,Zhejiang
Taizhou,-6.630206613101328,-4.998749784810214,Jiangsu
Taizhou,2.318501056812719,1.4486482246961585,Zhejiang
Taizhou,2.318501056812719,1.4486482246961585,Jiangsu
Taiwan,2.2906528608308014,2.154973440978734,Taiwan
Hefei,-5.282092091110644,-2.8932352214625987,Anhui
Jian,-8.030519973475718,-8.378327951540014,Jiangxi
Jilin,0.3786562413032758,1.0649595021276057,Jilin
Wuzhong,4.710821842651602,5.071618436988246,Ningxiahuizuzizhi
Zhoukou,5.436660645016905,4.670602943758706,Henan
Hulunbeier,-2.4703828449524203,-4.046327887993026,Neimengguzizhi
Huhehaote,2.8926834566907673,2.607289211567759,Neimengguzizhi
Xianning,28.364842244738973,27.972915981721094,Hubei
Xianyang,3.051709225101909,3.6689320355660064,Shanxi
Haerbin,-0.7325358010649113,2.7492435354475417,Heilongjiang
Tangshan,7.230587078870895,8.187241021247507,Hebei
Shangqiu,11.422255916912528,10.33150084353907,Henan
Shangluo,4.723802140045848,4.4430951794317455,Shanxi
Jiaxing,1.4856592622859046,1.9077785524321391,Zhejiang
Siping,11.967111133486496,10.405190847163018,Jilin
Datong,-1.7661428853549865,-2.0136032437036477,Shanxi
Daqing,5.792995424834705,5.109142917998718,Heilongjiang
Dalibaizuzizhizhou,0.4063246528029806,0.316332178074345,Yunnan
Dalian,-3.6444920108044543,-4.526749413205038,Liaoning
Tianshui,5.773179064588493,5.376188032923403,Gansu
Tianjin,11.647627745020388,8.185806195007418,Tianjin
Tianmen,30.136317538685077,34.82506136387687,Hubei
Taiyuan,5.74077964036615,3.3700637794890667,Shanxi
Weihai,-4.080159157325467,-3.9526618159629323,Shandong
Loudi,-5.105570235092578,-3.947257211083502,Hunan
Xiaogan,20.914928469719186,28.11537182547238,Hubei
Ningde,1.518553591140312,1.0618387587003837,Fujian
Ningbo,2.808281685963157,-2.562358411385882,Zhejiang
Anqing,2.312533742081713,2.7583155193170312,Anhui
Ankang,-6.846243520224266,-7.5001392692888755,Shanxi
Anyang,1.5662624952454336,-0.9274626040780932,Henan
Anshun,-132.0878547457317,-127.30016137718697,Guizhou
Dingxi,4.043506407690548,4.677686220416491,Gansu
Yibin,-14.288497065740698,-13.42248330864348,Sichuan
Yichang,8.015567323332336,13.047803124530072,Hubei
Yichun,3.548081670290466,5.858965616848274,Heilongjiang
Yichun,3.548081670290466,5.858965616848274,Jiangxi
Baoji,-2.9547386493183034,-2.556709862888854,Shanxi
Xuancheng,-134.0347530371599,-134.64972243665582,Anhui
Suzhou,6.1709610505865635,5.429786710382602,Anhui
Suzhou,6.1709610505865635,5.429786710382602,Jiangsu
Suzhou,-3.11410142361625,-1.6956366007005834,Anhui
Suzhou,-3.11410142361625,-1.6956366007005834,Jiangsu
Suqian,-7.659780526430146,-6.360278263836373,Jiangsu
Yueyang,7.999174346092997,9.205226890865616,Hunan
Bazhong,6.680370977316696,5.257335748695934,Sichuan
Bayannaoer,-2.084514354154328,-2.0828372158230573,Neimengguzizhi
Bayinguolengmengguzizhizhou,-128.7357395461807,-127.35152526845165,Xinjiangweiwuerzizhi
Changzhou,3.886164523913004,4.672663916415055,Jiangsu
