cityName-en,exp_aic,powerlaw_aic,provinceName-en,2020-03-01
Yibin,-14.288497065740698,-13.42248330864348,Sichuan,12.0
Yichang,8.015567323332336,13.047803124530072,Hubei,931.0
Yichun,3.548081670290466,5.858965616848274,Heilongjiang,1.0
Yichun,3.548081670290466,5.858965616848274,Jiangxi,106.0
Baoji,-2.9547386493183034,-2.556709862888854,Shanxi,13.0
Xuancheng,-134.0347530371599,-134.64972243665582,Anhui,6.0
Suzhou,6.1709610505865635,5.429786710382602,Anhui,41.0
Suzhou,6.1709610505865635,5.429786710382602,Jiangsu,87.0
Suzhou,-3.11410142361625,-1.6956366007005834,Anhui,41.0
Suzhou,-3.11410142361625,-1.6956366007005834,Jiangsu,87.0
Suqian,-7.659780526430146,-6.360278263836373,Jiangsu,13.0
Yueyang,7.999174346092997,9.205226890865616,Hunan,156.0
Bazhong,6.680370977316696,5.257335748695934,Sichuan,24.0
Bayannaoer,-2.084514354154328,-2.0828372158230573,Neimengguzizhi,8.0
Bayinguolengmengguzizhizhou,-128.7357395461807,-127.35152526845165,Xinjiangweiwuerzizhi,3.0
Changzhou,3.886164523913004,4.672663916415055,Jiangsu,51.0
Changde,7.665765047769736,6.519307494776155,Hunan,82.0
Pingliang,-7.240023884820814,-4.227791303335663,Gansu,9.0
Pingdingshan,-10.670534252373121,-11.067427539081846,Henan,58.0
Guangyuan,-126.98203198792758,-122.1525538087016,Sichuan,6.0
Guangan,4.200722887235751,4.029700015315348,Sichuan,30.0
Guangzhou,23.65841353189289,20.077444697213963,Guangdong,346.0
Qingyang,-131.13400660155108,-131.13400660155108,Gansu,3.0
Langfang,2.908633297650398,3.127728950494317,Hebei,30.0
Yanan,-inf,-inf,Shanxi,8.0
Yanbianchaoxianzuzizhizhou,-13.996020701640246,-12.253360272424972,Jilin,5.0
Kaifeng,6.112657822137565,5.328461452706475,Henan,26.0
Zhangjiakou,13.276277620636266,14.128662952670874,Hebei,41.0
Zhangjiajie,-129.74771224043118,-125.74475224001095,Hunan,5.0
Xuzhou,-2.7369601079701362,-1.4715505796849606,Jiangsu,79.0
Dehongdaizujingpozuzizhizhou,-135.95757537146915,-126.6851323198289,Yunnan,5.0
Dezhou,4.940746637092425,5.107156293665857,Shandong,37.0
Deyang,1.5401902648382406,0.1118279197074935,Sichuan,18.0
Xinzhou,4.334814014361751,4.8529485395868175,Shanxi,7.0
Huaihua,2.2877915898569774,2.21900524912594,Hunan,40.0
Enshitujiazumiaozuzizhizhou,13.323380307010085,14.002617115019762,Hubei,252.0
Huizhou,14.894926875270224,13.987840065914307,Guangdong,62.0
Chengdu,15.055519762352352,15.837424534844216,Sichuan,143.0
Yangzhou,-4.296349666834,-4.279968757067937,Jiangsu,23.0
Chengde,-11.324210681270385,-13.630684030141841,Hebei,7.0
Fuzhou,3.578699616038166,3.6967812734746075,Jiangxi,72.0
Fuzhou,3.578699616038166,3.6967812734746075,Fujian,72.0
Fuzhou,12.818529885784029,12.903189865413166,Jiangxi,72.0
Fuzhou,12.818529885784029,12.903189865413166,Fujian,72.0
Jieyang,-138.31488536415245,-131.87713371441603,Guangdong,8.0
Panzhihua,6.1651759276280265,7.613494408773504,Sichuan,16.0
Wenshanzhuangzumiaozuzizhizhou,-inf,-inf,Yunnan,2.0
Wenchang,-inf,-inf,Hainan,3.0
Xinxiang,3.1191982734676116,1.550172265576522,Henan,57.0
Xinyu,-14.671027078109956,-7.600575857250575,Jiangxi,130.0
Wuxi,2.2907409986214033,1.691076224923806,Jiangsu,55.0
Rizhao,-4.589082174366935,-4.389479965556233,Shandong,16.0
Kunming,1.0600096063766045,1.3155632721606039,Yunnan,53.0
Changjihuizuzizhizhou,-5.484503951164821,-4.879990342287118,Xinjiangweiwuerzizhi,4.0
Changjianglizuzizhi,-0.9404688815356389,-4.650029701483699,Hainan,7.0
Zhaotong,-0.5139327102491672,0.1206555025851136,Yunnan,25.0
Jinzhong,4.967345777395296,2.616421926497709,Shanxi,37.0
Jincheng,5.04718307912936,4.329369407615505,Shanxi,10.0
Jingdezhen,-10.011728319828821,-17.070898597534597,Jiangxi,6.0
Qujing,-5.132680274078248,-4.574898076675837,Yunnan,13.0
Shuozhou,1.4143417707759798,1.7455248685396412,Shanxi,8.0
Laibin,1.45833613167772,1.4524641989476694,Guangxizhuangzuzizhi,11.0
Hangzhou,-8.633465013315169,-11.440916159930163,Zhejiang,169.0
Zaozhuang,0.6214984452015114,0.03959745464480002,Shandong,24.0
Liuzhou,-3.2813621391940306,-3.2816221767717164,Guangxizhuangzuzizhi,24.0
Zhuzhou,7.033110072328307,7.99687021054345,Hunan,80.0
Guilin,-4.221220757778762,-4.786280702775971,Guangxizhuangzuzizhi,32.0
Meizhou,-10.732159193709728,-11.021814973126846,Guangdong,16.0
Chuxiongyizuzizhizhou,-130.04455225066772,-124.69570330376264,Yunnan,4.0
Yulin,-135.4210473982798,-126.90565444223226,Shanxi,3.0
Yulin,-135.4210473982798,-126.90565444223226,Guangxizhuangzuzizhi,11.0
Yulin,0.03912345993066546,-0.5389811835848152,Shanxi,3.0
Yulin,0.03912345993066546,-0.5389811835848152,Guangxizhuangzuzizhi,11.0
Wuhan,7.759214219093715,13.662817661156646,Hubei,49122.0
Bijie,1.7652911132533382,3.5683333611865478,Guizhou,23.0
Yongcheng,-inf,-inf,Henan,
Yongzhou,13.23281557475478,13.370995117007832,Hunan,44.0
Hanzhong,5.35510091992395,5.299969645024402,Shanxi,26.0
Shantou,1.8918563903477739,1.9172193103645205,Guangdong,25.0
Shanwei,-inf,-68.29286693008771,Guangdong,5.0
Jiangmen,-0.9486726738934786,-0.8422757921267868,Guangdong,23.0
Chizhou,4.319442325582274,4.104735133902012,Anhui,17.0
Shenyang,2.979795651083774,2.3832606222794595,Liaoning,28.0
Cangzhou,12.21029050081714,12.553834024911305,Hebei,48.0
Hechi,-0.17771091274805662,-0.34468216520527994,Guangxizhuangzuzizhi,28.0
Heyuan,-0.03514230654943484,-0.15798883479387948,Guangdong,4.0
Quanzhou,2.2016759810253688,0.30784292035025496,Fujian,47.0
Taian,7.330567941094981,6.858399102338095,Shandong,35.0
Luzhou,4.652319266095351,4.050278109969523,Sichuan,24.0
Luoyang,-0.009104520388211967,-1.088309930982176,Henan,31.0
Jinan,4.083897331092001,5.338686030457727,Shandong,47.0
Jining,40.38069588408591,40.40582142263318,Shandong,260.0
Jiyuan,-3.623034602439104,-3.935541393860126,Henan,5.0
Haibeizangzuzizhizhou,-inf,-inf,Qinghai,3.0
Haikou,7.771702950792812,7.668370383138567,Hainan,39.0
Zibo,4.061091304091435,4.217309070275275,Shandong,30.0
Huaibei,-1.8736171600756877,-4.172763419087956,Anhui,27.0
Huainan,9.601806145536004,9.495667875882665,Anhui,27.0
Huaian,3.9533553328813524,4.384598110938776,Jiangsu,66.0
Shenzhen,6.959106809220693,6.4396206043641735,Guangdong,417.0
Qingyuan,-4.278117065430812,-4.053199297691427,Guangdong,12.0
Wenzhou,-10.63578202356709,-0.9404687632064205,Zhejiang,504.0
Weinan,5.808024326167694,6.322411143511171,Shanxi,15.0
Huzhou,-133.4741491068516,-132.73869954660094,Zhejiang,10.0
Xiangtan,1.011715854859927,0.3504549657917243,Hunan,36.0
Xiangxitujiazumiaozuzizhizhou,-128.11515250850405,-124.9456619088166,Hunan,8.0
Zhanjiang,0.32314286460241115,0.3198595851946754,Guangdong,22.0
Chuzhou,-4.457688993771149,-5.260990699068446,Anhui,13.0
Binzhou,-4.377294179089598,-4.71495268044331,Shandong,15.0
Tahe,0.5844540586461958,-0.7538849666292636,Henan,35.0
Zhangzhou,-3.6265770537460633,-3.579733279644247,Fujian,20.0
Weifang,5.941437546852868,8.003049044813887,Shandong,44.0
Qianjiang,18.832911914918817,20.987072402590307,Hubei,198.0
Chaozhou,-132.8657263580456,-133.86563826110378,Guangdong,5.0
Chengmai,-2.565795916316987,-3.0176768870437845,Hainan,9.0
Puyang,1.5186894672240583,1.3049135749241585,Henan,17.0
Yantai,-7.508036448014063,-7.839853169067001,Shandong,47.0
Jiaozuo,13.637395929542047,11.576034676654162,Henan,32.0
Mudanjiang,-13.162924310855251,-13.020758543298689,Heilongjiang,14.0
Yuxi,5.291620931835838,4.86733339247504,Yunnan,14.0
Zhuhai,7.0035929439951525,5.93288473806301,Guangdong,98.0
Qionghai,-135.09600953928424,-126.51509065698748,Hainan,6.0
Gannanzangzuzizhizhou,-0.1503138819918851,-0.004272558155368089,Gansu,8.0
Ganzizangzuzizhizhou,15.75014134924488,16.151233843847336,Sichuan,78.0
Baiyin,-inf,-inf,Gansu,4.0
Baise,-inf,-inf,Guangxizhuangzuzizhi,3.0
Yiyang,17.569341867294273,19.350203939145096,Hunan,60.0
Yancheng,5.307730582027312,5.270505354969601,Jiangsu,27.0
Jianyuxitong,-117.75103738763971,-112.31733431143331,Hubei,
Panjin,-135.51128826884073,-130.5286953730672,Liaoning,11.0
Shengshilifengjianyu,-inf,-inf,Zhejiang,36.0
Meishan,-8.380242869048052,-8.242254393566649,Sichuan,8.0
Shijiazhuang,2.7710881210658314,2.3906791320669583,Hebei,29.0
Shihezi,-inf,-inf,Xinjiangweiwuerzizhi,4.0
Shennongjialinqu,-inf,-inf,Hubei,11.0
Qinhuangdao,-9.643295095627066,-7.821639306215679,Hebei,10.0
Honghehanizuyizuzizhizhou,-13.923565988874982,-11.635118923419187,Yunnan,9.0
Shaoxing,-1.955744651671099,-2.096517450219006,Zhejiang,42.0
Suihua,3.84905636858045,5.680949088340079,Heilongjiang,47.0
Mianyang,-2.792205814557106,-4.606425920098213,Sichuan,22.0
Liaocheng,9.096046802554346,10.02039604437883,Shandong,38.0
Zhaoqing,-1.3349088204126347,-1.7137277736347145,Guangdong,19.0
Zhoushan,-inf,-71.0654556523275,Zhejiang,10.0
Wuhu,9.595011245254314,10.304382031731079,Anhui,34.0
Maoming,-3.4774383096023187,-2.6003502331026938,Guangdong,14.0
Jingzhou,20.187828681762156,23.753027525038554,Hubei,1579.0
Jingmen,41.4686431271893,42.52571602477637,Hubei,925.0
Putian,5.930560290050292,4.725386949990598,Fujian,56.0
Heze,-7.053881558696232,-6.898674738798767,Shandong,18.0
Pingxiang,7.790490315791581,5.676955223664561,Jiangxi,33.0
Huludao,-2.6708385546761577,-2.041090822599705,Liaoning,12.0
Bengbu,-4.049026544936331,3.2285616351016144,Anhui,160.0
Hengshui,0.7063489360887377,1.0384604931521246,Hebei,8.0
Hengyang,-11.264555682144833,-10.957608135595068,Hunan,48.0
Quzhou,-4.3881557583872555,-2.815202801341331,Zhejiang,14.0
Xiangyang,-12.76357651624908,-0.20360294733678208,Hubei,1175.0
Xishuangbannadaizuzizhizhou,-19.47493447949791,-18.37700052679753,Yunnan,15.0
Xining,-3.3520302316998802,-2.5958623432285415,Qinghai,15.0
Xian,-2.538281011763415,-2.1682023357006757,Shanxi,120.0
Xuchang,1.3340540765836635,1.1277150874568789,Henan,39.0
Guigang,0.9629893386258889,1.3860680492196065,Guangxizhuangzuzizhi,8.0
Guiyang,-0.6921246806377456,-1.134498913695991,Guizhou,36.0
Hezhou,-126.71367204556897,-120.76116232932681,Guangxizhuangzuzizhi,4.0
Ziyang,-136.92859100303255,-129.9280144344198,Sichuan,4.0
Ganzhou,8.057226563036961,8.491900940727886,Jiangxi,76.0
Chifeng,-3.219715939351778,-3.1773954044273,Neimengguzizhi,9.0
Liaoyuan,2.157893153018288,1.6305331305182826,Jilin,7.0
Liaoyang,-135.09600953928424,-134.64972243665582,Liaoning,3.0
Dazhou,-17.148812381790876,-15.068738579982634,Sichuan,42.0
Yuncheng,2.1998905955655004,1.6283076643286534,Shanxi,19.0
Lianyungang,-4.944947676289934,-3.6424825294590506,Jiangsu,48.0
Tonghua,0.5403331783995048,0.5354508942050481,Jilin,6.0
Tongliao,0.6753159531085687,1.2811180804006415,Neimengguzizhi,7.0
Suining,-3.9989747259191994,-3.94865949589404,Sichuan,17.0
Zunyi,6.609607766635539,7.645706770116587,Guizhou,32.0
Xingtai,4.667771656534954,3.516696474879884,Hebei,23.0
Handan,4.8327609014415005,4.711889251529063,Hebei,32.0
Shaoyang,8.325447000491208,7.639521141832806,Hunan,102.0
Zhengzhou,-6.360079910944015,-7.188737229802647,Henan,157.0
Chenzhou,9.68319562583772,9.182911057125578,Hunan,39.0
Eerduosi,2.4719341060770224,2.487782613413277,Neimengguzizhi,11.0
Ezhou,25.99568384336679,38.71723522211516,Hubei,1391.0
Chongqing,-9.671763587131883,-6.505425532500616,Chongqing,576.0
Jinhua,2.0713862840811905,2.1196622090085433,Zhejiang,55.0
Qinzhou,0.38902420319788555,0.8244314042463591,Guangxizhuangzuzizhi,8.0
Tieling,2.4894819536057313,2.685371998004092,Liaoning,7.0
Tongren,-2.08087013092567,-3.5733367286945303,Guizhou,10.0
Tongchuan,-9.97544923893638,-10.687905638648706,Shanxi,8.0
Tongling,-8.225975340411905,-8.355041323989552,Anhui,29.0
Yinchuan,11.901079681190923,13.58975133341855,Ningxiahuizuzizhi,34.0
Xilinguolei,0.9359953056779927,0.85143926258714,Neimengguzizhi,9.0
Jinzhou,-0.3096501736983571,-0.2087506446967501,Liaoning,12.0
Zhenjiang,0.22625781113408416,0.29318126893344976,Jiangsu,12.0
Changchun,15.235882598990399,13.59155818289903,Jilin,45.0
Changsha,-8.913306365423653,-8.828303209855735,Hunan,242.0
Zhangzhi,-2.6550629427438133,-1.4668067522647257,Shanxi,8.0
Fuxin,-6.438975572219792,-6.952022903439139,Liaoning,8.0
Fuyang,-11.138714072883337,-4.150703676169626,Anhui,155.0
Fangchenggang,-3.4405331685154885,-5.063115350816722,Guangxizhuangzuzizhi,19.0
Yangjiang,2.2738523173198364,2.6539290456920868,Guangdong,14.0
Yangquan,-9.10402960051495,-7.725636950332166,Shanxi,4.0
Longnan,-69.6791612912076,-inf,Gansu,4.0
Lingshuilizuzizhi,-inf,-71.0654556523275,Hainan,4.0
Suizhou,-5.499021203965554,3.462934072413789,Hubei,1307.0
Yaan,-132.53414184836012,-138.31488536415245,Sichuan,7.0
Qingdao,3.6802670561165285,3.5059705179756278,Shandong,60.0
Anshan,-127.83668935037632,-126.71367204556897,Liaoning,4.0
Shaoguan,-7.7376425490213085,-7.2526911893145,Guangdong,10.0
Xianggang,22.117272857284533,21.428924359626308,Xianggangtebiexingzheng,96.0
Maanshan,2.7288221021799983,1.9468452191272099,Anhui,38.0
Zhumadian,-2.806653903142165,-2.0624612308785992,Henan,139.0
Jixi,2.225132361090315,4.031136586901693,Heilongjiang,46.0
Hebi,1.2240176548315111,1.5474840712313145,Henan,19.0
Hegang,-10.455802498855226,-9.73472415113474,Heilongjiang,5.0
Yingtan,7.742376693479746,6.831562137548215,Jiangxi,18.0
Huanggang,16.20220218192928,17.337967273903317,Hubei,2905.0
Huangshi,4.103442249844783,5.937694347467805,Hubei,1014.0
Heihe,0.8602154786873649,2.1105883871793583,Heilongjiang,14.0
Qiandongnanmiaozudongzuzizhizhou,2.200423915515637,1.6372483563253453,Guizhou,10.0
Qiannanbuyizumiaozuzizhizhou,10.068208005432444,10.046506209871271,Guizhou,17.0
Qianxinanbuyizumiaozuzizhizhou,-135.4210473982798,-126.62056324914936,Guizhou,4.0
Qiqihaer,17.153384121134643,15.81752026428954,Heilongjiang,43.0
Longyan,0.6627669990559232,1.4433686564632473,Fujian,6.0
