2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,provinceName,distance-Hubei
9.0,32.0,83.0,128.0,168.0,206.0,278.0,352.0,422.0,493.0,566.0,675.0,764.0,851.0,914.0,981.0,1033.0,1073.0,1105.0,1135.0,1169.0,1184.0,1212.0,1231.0,1246.0,1257.0,1262.0,1265.0,1267.0,1270.0,1271.0,1271.0,1271.0,1271.0,1272.0,1272.0,1272.0,河南省,342.1354299585867
43.0,62.0,104.0,128.0,173.0,296.0,428.0,538.0,599.0,661.0,724.0,829.0,895.0,954.0,1006.0,1048.0,1075.0,1092.0,1117.0,1131.0,1145.0,1155.0,1162.0,1167.0,1171.0,1172.0,1174.0,1175.0,1203.0,1205.0,1205.0,1205.0,1205.0,1205.0,1205.0,1205.0,1205.0,浙江省,761.2902319500384
8.0,19.0,22.0,33.0,40.0,43.0,46.0,52.0,62.0,64.0,72.0,80.0,91.0,106.0,117.0,124.0,131.0,138.0,144.0,157.0,157.0,159.0,162.0,162.0,163.0,163.0,163.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,海南省,1359.4068056823983
549.0,730.0,1058.0,1423.0,2714.0,3554.0,4903.0,5806.0,7153.0,9074.0,11177.0,13522.0,16678.0,19665.0,22112.0,24953.0,27100.0,29631.0,31728.0,33366.0,48206.0,51986.0,54406.0,56249.0,58182.0,59989.0,61682.0,62457.0,63088.0,63454.0,64084.0,64287.0,64786.0,65187.0,65596.0,65914.0,66337.0,湖北省,0.0
24.0,43.0,69.0,100.0,143.0,221.0,277.0,332.0,389.0,463.0,521.0,593.0,661.0,711.0,772.0,803.0,838.0,879.0,912.0,946.0,968.0,988.0,1001.0,1004.0,1006.0,1007.0,1008.0,1010.0,1011.0,1013.0,1016.0,1016.0,1016.0,1016.0,1017.0,1017.0,1018.0,湖南省,395.1488136972415
2.0,4.0,7.0,14.0,19.0,24.0,26.0,29.0,40.0,40.0,51.0,57.0,57.0,62.0,67.0,79.0,79.0,83.0,86.0,86.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,甘肃省,1189.1912979000763
10.0,18.0,35.0,59.0,80.0,84.0,101.0,120.0,144.0,159.0,179.0,194.0,205.0,215.0,224.0,239.0,250.0,261.0,267.0,272.0,279.0,281.0,285.0,287.0,290.0,292.0,293.0,293.0,293.0,293.0,293.0,293.0,294.0,294.0,296.0,296.0,296.0,福建省,789.7046494580115
,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,西藏自治区,2211.8266772139546
3.0,4.0,5.0,7.0,9.0,9.0,12.0,29.0,29.0,38.0,46.0,58.0,64.0,71.0,81.0,89.0,99.0,109.0,127.0,133.0,135.0,140.0,143.0,144.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,贵州省,730.0675593085333
4.0,16.0,21.0,27.0,34.0,39.0,41.0,48.0,64.0,70.0,74.0,81.0,89.0,94.0,99.0,105.0,107.0,108.0,111.0,116.0,117.0,119.0,119.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,辽宁省,1479.3462470582094
27.0,57.0,75.0,110.0,132.0,147.0,182.0,211.0,247.0,275.0,312.0,344.0,376.0,400.0,415.0,428.0,450.0,473.0,489.0,509.0,525.0,532.0,538.0,547.0,553.0,553.0,555.0,560.0,567.0,572.0,573.0,575.0,576.0,576.0,576.0,576.0,576.0,重庆市,594.4445161976113
5.0,15.0,22.0,35.0,46.0,56.0,63.0,87.0,101.0,116.0,128.0,142.0,165.0,173.0,184.0,195.0,208.0,213.0,219.0,225.0,229.0,230.0,232.0,236.0,240.0,240.0,242.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,陕西省,582.1351759730625
,1.0,1.0,6.0,6.0,6.0,8.0,8.0,9.0,11.0,13.0,15.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,青海省,1579.6414482143464
4.0,9.0,15.0,21.0,30.0,38.0,44.0,59.0,80.0,95.0,121.0,155.0,190.0,227.0,277.0,296.0,307.0,331.0,360.0,378.0,395.0,419.0,425.0,445.0,457.0,464.0,470.0,476.0,479.0,479.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,黑龙江省,2234.5048213692126
