2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,cityName,cityName-en,distance-Wuhan,distance-Xiaogan,distance-Huanggang,distance-Suizhou,distance-Jingzhou,provinceName
18.0,20.0,21.0,22.0,22.0,40.0,64.0,81.0,95.0,100.0,109.0,115.0,122.0,124.0,129.0,133.0,138.0,141.0,143.0,143.0,144.0,144.0,145.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,台州,Taizhou,720.4764649135013,808.8830739617821,666.2549463903197,846.3893109188674,910.5538073887333,浙江省
6.0,10.0,13.0,13.0,16.0,29.0,39.0,50.0,59.0,59.0,75.0,81.0,93.0,104.0,115.0,128.0,136.0,147.0,150.0,157.0,161.0,166.0,168.0,169.0,171.0,173.0,173.0,173.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,合肥,Hefei,318.83880435658267,317.9322954869974,277.7621065627943,368.7957476396796,508.67092809949,安徽省
1.0,1.0,2.0,3.0,3.0,4.0,5.0,8.0,11.0,12.0,13.0,15.0,15.0,15.0,16.0,17.0,17.0,18.0,19.0,21.0,21.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,吉安,Jian,382.29589591687665,541.8768112876456,368.09274364538123,532.4804417134026,444.7159142884519,江西省
1.0,2.0,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,吉林,Jilin,1834.028322100284,1727.6228949306987,1812.9635708483504,1775.5502087004704,1963.6094508963258,吉林省
,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,吐鲁番,Tulufan,2616.4064036525647,2491.651525227823,2663.993140439954,2464.7828318671604,2476.6535296773595,新疆维吾尔自治区
,,,1.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,吕梁,Lvliang,830.3284427364604,671.5985757072782,858.0451280644229,676.2412335714014,804.4708657960567,山西省
,,,,2.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,,8.0,9.0,9.0,10.0,13.0,15.0,19.0,22.0,25.0,27.0,,27.0,27.0,28.0,28.0,28.0,,28.0,28.0,28.0,28.0,28.0,,28.0,,吴忠,Wuzhong,1114.0325230161052,972.9978527004281,1155.711163452915,955.4001901402252,1014.7195699426424,宁夏回族自治区
1.0,4.0,5.0,11.0,15.0,19.0,25.0,36.0,38.0,40.0,47.0,52.0,56.0,59.0,60.0,62.0,62.0,65.0,65.0,66.0,68.0,69.0,70.0,71.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,周口,Zhoukou,346.18268016656293,201.27813188526943,354.4565552612326,242.33094446261924,429.6546660014408,河南省
,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,呼伦贝尔,Hulunbeier,2124.6544838973673,1980.4743890000047,2123.672728272974,2013.682405148636,2189.175151689703,内蒙古自治区
,,,,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,呼和浩特,Huhehaote,1167.752530838233,1008.103256727039,1187.802010026407,1021.8352110617246,1164.828429104171,内蒙古自治区
,,43.0,64.0,91.0,112.0,130.0,166.0,206.0,246.0,296.0,348.0,384.0,399.0,443.0,476.0,493.0,507.0,515.0,525.0,534.0,732.0,840.0,852.0,861.0,868.0,868.0,834.0,834.0,836.0,836.0,836.0,836.0,836.0,836.0,836.0,836.0,836.0,咸宁,Xianning,72.1141192083877,230.01476588099806,84.989231469911,222.25765764702842,203.03097236057883,湖北省
1.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0,9.0,11.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,咸阳,Xianyang,676.3001952145033,554.6218016613485,723.4363515268116,524.5877062085528,556.1187997492701,陕西省
1.0,6.0,8.0,8.0,10.0,11.0,13.0,18.0,25.0,34.0,45.0,63.0,73.0,82.0,94.0,100.0,114.0,128.0,146.0,150.0,159.0,164.0,167.0,182.0,188.0,190.0,192.0,194.0,197.0,197.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,哈尔滨,Haerbin,2000.7898546100346,1886.1316996174407,1983.0794568142699,1931.863055642507,2119.7179316407214,黑龙江省
,,,,1.0,3.0,3.0,7.0,8.0,11.0,11.0,11.0,12.0,17.0,19.0,23.0,27.0,28.0,31.0,33.0,35.0,43.0,46.0,51.0,51.0,51.0,55.0,56.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,唐山,Tangshan,1065.538801385571,932.4006886099424,1059.0892959906748,972.8499552239671,1157.8804247649787,河北省
,,,6.0,7.0,14.0,18.0,27.0,29.0,36.0,50.0,60.0,61.0,65.0,72.0,76.0,82.0,83.0,86.0,86.0,87.0,88.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,商丘,Shangqiu,452.57488610208736,323.1671088739811,449.59727197041747,368.87909171735055,556.9581591941557,河南省
,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,商洛,Shangluo,555.3621179201094,430.44155709930203,601.3341096536011,401.5853732028364,449.01560847983853,陕西省
3.0,4.0,8.0,8.0,11.0,14.0,16.0,16.0,18.0,19.0,19.0,23.0,27.0,30.0,35.0,37.0,38.0,40.0,40.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,嘉兴,Jiaxing,618.8077464829801,664.0650066163496,565.943006217135,710.7468037211964,818.5411254267106,浙江省
,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,8.0,9.0,10.0,10.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,四平,Siping,1663.226453348997,1550.809797404074,1644.9696413300176,1597.3892695014758,1785.4427651258798,吉林省
,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0,,固原,Guyuan,963.982776372569,838.0775665603192,1010.5761173714193,810.8944529552191,839.668374658222,宁夏回族自治区
,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,固始,Gushi,224.63670349602515,169.4519568550791,206.73051125065487,223.22487062076152,385.64913600957215,河南省
,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,塔城,Tacheng,3236.4138275916343,3104.4595674027564,3281.9997694345097,3081.48940418595,3106.3543078176144,新疆维吾尔自治区
,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,大兴安岭,Daxinganling,2519.036384628509,2381.4122247873834,2513.1745157262876,2418.1898448445445,2598.3297167181277,黑龙江省
,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,大同,Datong,1069.0234214246634,911.5243971461446,1083.3632722509526,932.3134512487261,1090.1088991478862,山西省
1.0,1.0,3.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,18.0,19.0,19.0,20.0,20.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,大庆,Daqing,2008.46570976873,1885.2184767353376,1994.8445465505051,1928.2892382268142,2114.8325614715063,黑龙江省
,1.0,1.0,2.0,3.0,3.0,4.0,6.0,6.0,7.0,7.0,7.0,7.0,10.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,大理,Dali,1485.7444960640096,1505.0906061748426,1534.5501361758897,1450.0772422398957,1291.169139328814,云南省
1.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,10.0,12.0,12.0,13.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,19.0,19.0,大连,Dalian,1146.5375296862612,1044.8386702138291,1125.0670585204928,1094.4512705634404,1281.8710498284647,辽宁省
,,,,1.0,1.0,2.0,2.0,3.0,3.0,8.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,12.0,12.0,,12.0,,12.0,,12.0,天水,Tianshui,926.877386470684,821.2439002806242,977.5326274140875,784.9987171377811,776.428617572643,甘肃省
,,14.0,22.0,24.0,27.0,31.0,32.0,41.0,48.0,60.0,67.0,69.0,78.0,81.0,88.0,90.0,95.0,105.0,112.0,117.0,120.0,122.0,124.0,125.0,128.0,130.0,131.0,132.0,135.0,135.0,135.0,135.0,135.0,135.0,136.0,136.0,136.0,天津,Tianjin,990.9258191546812,853.620655018117,987.2422014131135,892.3233493452377,1075.9427649335314,天津市
,3.0,5.0,13.0,23.0,34.0,44.0,67.0,82.0,99.0,115.0,117.0,128.0,138.0,163.0,179.0,197.0,217.0,261.0,293.0,362.0,416.0,422.0,447.0,485.0,500.0,486.0,488.0,492.0,493.0,494.0,494.0,495.0,496.0,496.0,496.0,496.0,496.0,天门,Tianmen,114.43942441965125,159.45689825585683,168.9192055423413,120.93313370641494,91.86812355749487,湖北省
1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,9.0,9.0,11.0,12.0,15.0,17.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,太原,Taiyuan,831.600494638813,672.0047560978984,851.8665376555881,686.9030875806102,836.5070193497761,山西省
2.0,3.0,4.0,9.0,10.0,12.0,14.0,19.0,24.0,24.0,25.0,25.0,27.0,29.0,31.0,33.0,34.0,35.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,威海,Weihai,1056.1719546875531,971.9597828476382,1028.6899465660244,1024.4489211949644,1208.277385696784,山东省
3.0,5.0,5.0,7.0,9.0,13.0,16.0,20.0,26.0,29.0,35.0,40.0,45.0,51.0,53.0,59.0,64.0,66.0,69.0,69.0,72.0,73.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,娄底,Loudi,386.3909948499275,503.27472035891844,414.4965452883546,464.99020684249643,291.9716741465219,湖南省
22.0,26.0,55.0,100.0,173.0,274.0,399.0,541.0,628.0,749.0,918.0,1120.0,1462.0,1886.0,2141.0,2313.0,2436.0,2541.0,2642.0,2751.0,2874.0,3009.0,3114.0,3201.0,3279.0,3320.0,3344.0,3410.0,3427.0,3429.0,3443.0,3465.0,3482.0,3501.0,3516.0,3517.0,3518.0,3518.0,孝感,Xiaogan,159.83289681782037,0.0,187.88110693565335,55.01341513624139,237.24593753539753,湖北省
,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,宁东,Ningdong,1105.3811043774256,961.7442008440788,1145.877631977428,946.1702024868823,1012.346707330773,宁夏回族自治区
1.0,2.0,3.0,6.0,6.0,7.0,8.0,9.0,9.0,9.0,12.0,12.0,14.0,16.0,16.0,21.0,23.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,宁德,Ningde,665.9578118075201,798.6913400225156,619.1490562969101,819.5926680363818,820.9211187758955,福建省
5.0,6.0,13.0,13.0,17.0,20.0,41.0,46.0,55.0,66.0,75.0,102.0,120.0,126.0,136.0,141.0,146.0,149.0,151.0,153.0,153.0,153.0,154.0,155.0,156.0,156.0,156.0,156.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,宁波,Ningbo,701.8871904399996,766.0568692129614,647.6218059799903,809.4024279826023,899.4752678101177,浙江省
1.0,4.0,5.0,8.0,8.0,14.0,18.0,18.0,31.0,43.0,47.0,55.0,56.0,60.0,66.0,71.0,75.0,78.0,80.0,80.0,80.0,81.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,安庆,Anqing,261.0573205533629,335.34834591029573,207.58644054827832,372.6578641010204,460.4361451591462,安徽省
1.0,3.0,3.0,7.0,8.0,10.0,10.0,13.0,14.0,16.0,17.0,17.0,19.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,23.0,24.0,24.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,安康,Ankang,557.0373014270414,468.51578588566866,609.1369803062224,425.1401762364783,403.1423045727173,陕西省
,,3.0,7.0,11.0,14.0,16.0,20.0,24.0,24.0,29.0,33.0,35.0,37.0,40.0,43.0,44.0,45.0,46.0,49.0,50.0,50.0,51.0,51.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,安阳,Anyang,618.8908984293345,465.4333076103969,629.6117749638244,494.28170017034205,669.1095795517574,河南省
,,,,,,,,,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,,,,安顺,Anshun,948.2971308625063,999.445294109669,992.3061298932076,945.9282920264945,767.4022614423983,贵州省
,,,,,,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,定安,Dingan,1266.46569914097,1402.9740707218934,1277.258988382178,1368.5291343045203,1195.9704815809112,海南省
,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,9.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,,9.0,,9.0,,9.0,定西,Dingxi,1067.4996124464658,954.877446390675,1117.131063986603,921.6454022091704,922.4663372087332,甘肃省
,,,1.0,1.0,2.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,宜宾,Yibin,942.7439521933651,925.2660894785661,996.1478951458851,871.408362256292,743.2888436013125,四川省
1.0,1.0,20.0,31.0,51.0,63.0,117.0,167.0,276.0,353.0,392.0,452.0,496.0,563.0,610.0,633.0,711.0,749.0,772.0,784.0,810.0,877.0,906.0,901.0,901.0,904.0,907.0,910.0,914.0,914.0,917.0,924.0,926.0,927.0,929.0,931.0,931.0,931.0,宜昌,Yichang,289.31126892204736,282.8778450164825,343.66647932084686,228.02895152289037,99.1547004520888,湖北省
,1.0,5.0,6.0,10.0,14.0,14.0,26.0,29.0,31.0,36.0,45.0,48.0,54.0,62.0,67.0,74.0,77.0,83.0,88.0,95.0,101.0,102.0,104.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,宜春,Yichun,300.4497689761233,457.85071523437625,295.3773349756772,443.8513563781695,348.5747885707798,江西省
,,,,3.0,4.0,4.0,4.0,6.0,7.0,8.0,10.0,10.0,10.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,宝鸡,Baoji,797.4587734532727,686.9552691773335,847.1195651865369,652.27379473872,656.4302693330806,陕西省
,,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,宣城,Xuancheng,449.90186747226653,455.7524697277068,404.1592659642636,507.1098634125828,644.065435988384,安徽省
,,2.0,3.0,3.0,9.0,10.0,10.0,12.0,14.0,21.0,23.0,24.0,25.0,27.0,28.0,28.0,31.0,33.0,36.0,38.0,39.0,39.0,39.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,宿州,Suzhou,426.57700412251216,343.70812123548694,405.52340174804846,397.94134431580943,577.2609212400546,安徽省
,,,,,4.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宿松,Susong,179.75216797689987,288.8262985319899,125.40158406108023,315.1321699219847,374.7691839582998,安徽省
,1.0,1.0,1.0,3.0,4.0,4.0,7.0,8.0,8.0,9.0,10.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,宿迁,Suqian,535.550440588024,468.68107075014456,506.8248673610188,523.4122709981391,698.6652560129556,江苏省
3.0,5.0,6.0,7.0,17.0,26.0,29.0,37.0,45.0,53.0,70.0,83.0,89.0,93.0,107.0,111.0,115.0,124.0,134.0,146.0,148.0,149.0,153.0,154.0,154.0,155.0,155.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,岳阳,Yueyang,173.5557210646198,293.42206615519297,208.85116250963867,261.76387666563863,134.5430766285841,湖南省
2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,巩义,Gongyi,479.0365804979749,319.2090037016162,503.08219651507807,332.676462931878,490.5043578929858,河南省
,,,,,2.0,4.0,5.0,8.0,8.0,12.0,12.0,15.0,19.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,巴中,Bazhong,737.4280912675368,679.177845068294,791.7790502130043,629.8525929279035,552.3887576300526,四川省
,,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,巴州,Bazhou,735.2196064869702,678.7070503397811,789.6096041975765,629.0757419427973,549.2604464727101,新疆维吾尔自治区
,,,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,8.0,8.0,巴彦淖尔,Bayannaoer,1295.8886703486917,1140.7780884761542,1328.6500674509498,1137.40077935944,1237.068099252792,内蒙古自治区
,5.0,5.0,6.0,8.0,8.0,10.0,13.0,14.0,15.0,15.0,19.0,24.0,27.0,29.0,31.0,31.0,31.0,31.0,36.0,38.0,43.0,43.0,46.0,49.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,常州,Changzhou,555.8209027988707,571.7426416918024,507.105000270033,622.489776110767,753.0392840651728,江苏省
,3.0,7.0,12.0,19.0,26.0,30.0,37.0,39.0,42.0,45.0,50.0,56.0,62.0,64.0,66.0,66.0,72.0,73.0,75.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,常德,Changde,301.200905610802,382.9420632479992,344.01701109760563,337.37983716153036,151.87275193041842,湖南省
,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,7.0,8.0,8.0,9.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,,9.0,,9.0,,9.0,平凉,Pingliang,901.9880384004011,779.1989458178346,949.2847176478094,750.3092984882165,774.5077984629272,甘肃省
,1.0,2.0,5.0,5.0,5.0,8.0,10.0,11.0,14.0,19.0,28.0,34.0,41.0,46.0,48.0,50.0,52.0,54.0,55.0,56.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,平顶山,Pingdingshan,370.86993382492983,211.08678997383922,396.16872776831065,225.5197051361796,391.65809922547436,河南省
,,,,,1.0,3.0,2.0,2.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,广元,Guangyuan,834.1383704440178,764.9767865356478,888.1665396424248,718.0559127331984,653.9121328702049,四川省
2.0,2.0,2.0,6.0,7.0,7.0,9.0,13.0,16.0,20.0,21.0,24.0,24.0,24.0,27.0,28.0,28.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,广安,Guangan,739.0615369843816,713.6454063734399,793.1109736629617,660.1317042780033,541.361155304382,四川省
7.0,14.0,17.0,41.0,51.0,63.0,98.0,112.0,150.0,179.0,200.0,224.0,249.0,270.0,285.0,301.0,307.0,314.0,317.0,323.0,327.0,328.0,335.0,338.0,339.0,339.0,339.0,339.0,339.0,343.0,345.0,345.0,346.0,346.0,346.0,346.0,346.0,346.0,广州,Guangzhou,822.5198871943453,973.0375576495925,822.9118805175428,948.4250352746878,800.7679456664212,广东省
,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0,,3.0,,3.0,庆阳,Qingyang,855.3075711169894,719.6883757414537,898.8328275373476,698.0754448046439,751.2852807517683,甘肃省
,,,2.0,6.0,9.0,9.0,9.0,11.0,11.0,12.0,12.0,13.0,14.0,15.0,20.0,22.0,24.0,26.0,28.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,廊坊,Langfang,1022.9856716279005,881.1498659037851,1022.131915493757,917.2940908682629,1098.2426795271717,河北省
1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,延安,Yanan,810.110533461922,660.6697031050244,847.263241376445,650.4086968435821,741.25142223088,陕西省
,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,延边,Yanbian,1924.0677683933384,1834.470082652395,1896.5140182532452,1885.5494164095894,2071.649328694509,吉林省
,,,1.0,2.0,3.0,4.0,6.0,8.0,11.0,11.0,12.0,17.0,18.0,20.0,21.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,开封,Kaifeng,473.5516832816824,320.936709480596,484.8656193046455,352.5228664873258,532.443969503498,河南省
,,,,,1.0,6.0,6.0,8.0,9.0,9.0,9.0,10.0,12.0,13.0,14.0,14.0,17.0,21.0,21.0,25.0,31.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,35.0,40.0,41.0,41.0,41.0,张家口,Zhangjiakou,1143.9413398141835,991.3329646272558,1151.6937919715542,1018.8107401575122,1187.565450092266,河北省
,,,,,,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,张家界,Zhangjiajie,401.02465417516225,451.9268497555064,448.63961687783774,400.13489326658316,216.61194852575414,湖南省
,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,,2.0,,2.0,张掖,Zhangye,1571.6404053193971,1445.6196391970313,1618.629859533449,1419.0452063212729,1438.7913550468625,甘肃省
