updateTime,country_confirmedCount,country_curedCount,country_suspectedCount
2020-01-23,866,35,2
2020-01-24,1324,40,20
2020-01-25,2019,49,1
2020-01-26,2838,59,0
2020-01-27,4601,73,0
2020-01-28,6067,119,0
2020-01-29,8122,141,0
2020-01-30,9782,223,0
2020-01-31,11841,275,0
2020-02-01,14458,442,1
2020-02-02,17307,528,0
2020-02-03,20492,719,2
2020-02-04,24358,1024,2
2020-02-05,28087,1371,0
2020-02-06,31194,1748,166
2020-02-07,34602,2377,0
2020-02-08,37213,2897,23941
2020-02-09,40177,3546,0
2020-02-10,42611,4294,0
2020-02-11,44688,5067,0
2020-02-12,59826,6219,0
2020-02-13,63757,7266,0
2020-02-14,66496,8487,0
2020-02-15,68419,9707,0
2020-02-16,70536,11264,0
2020-02-17,72438,12995,0
2020-02-18,74187,14927,0
2020-02-19,74986,16700,0
2020-02-20,75892,18673,0
2020-02-21,76110,20918,0
