city,a,b
丽江,0.007438532179014357,0.7409585894771826
昆明,0.026166301775896406,1.2141150277330215
西双版纳,0.01679349467922453,0.9255227005230473
北京,0.04283334976800226,1.8328700186628644
吉林,0.02788019483329829,0.30434016494939586
广安,0.03888012328460122,0.8564645796379331
德阳,0.042273845367477914,0.49585434055047073
成都,0.02754084676129709,1.599882418032708
绵阳,0.031420161826421156,0.8189641440756528
遂宁,0.009768825974709211,0.5915801097411052
雅安,0.03022754120557225,0.34025941520035863
亳州,0.07506833791296486,0.7444611997365991
六安,0.0912531939829188,0.27825496140538936
合肥,0.052186346900085834,1.2793696432728192
安庆,0.05945035216388195,0.9530001149518977
池州,0.0695061167523594,0.03684282995981558
滁州,0.05108994026598801,0.3056335951016119
蚌埠,0.10953811924079193,0.2805515659745469
阜阳,0.05849505644620407,1.150459753913159
临沂,0.03279068419037634,1.0536927087300973
威海,0.02674150983465673,1.0900803969351547
日照,0.024355003720117008,0.8080029144486883
济南,0.055428593587461106,0.7451340524436864
济宁,0.08108314527590445,0.3268694202449534
潍坊,0.07340167017512766,0.2980885791626252
烟台,0.03899089642608433,0.9356921334117875
青岛,0.047386095079975044,0.9221425978474429
太原,0.06485857988488954,0.061507016495170846
中山,0.05961913153144971,0.7581564545088235
佛山,0.03453332741258198,1.261685931170431
广州,0.04919135206209102,1.7290306016608188
惠州,0.046433109493754676,0.908533136197147
深圳,0.05148081895732448,1.7708941175820248
清远,0.034626518720018984,0.48255308401750285
湛江,0.03193185667555554,0.8219303655341552
珠海,0.04965079224318682,1.161036591580392
肇庆,0.054579281763352264,0.3369746467796987
阳江,0.01777817165408324,0.842238890015587
韶关,0.023524757692986165,0.43912693476870396
北海,0.02988544410296634,1.056580059906816
柳州,0.036679305900603275,0.742261197930339
桂林,0.021805171874826113,1.1222862997710878
梧州,0.005922278570545947,0.6171348822395009
河池,0.053231165025002004,0.2764083709057369
百色,0.01956569557480758,0.1053730396675527
南京,0.05119449570227774,1.0039572768523204
南通,0.05919533765831497,0.5900130049347223
扬州,0.028953165805760128,0.7941787742067696
无锡,0.05584525708334376,0.6749931200146936
苏州,0.04828858465559105,1.104406693285679
连云港,0.05822131416725107,0.5213033601711501
九江,0.05223896056312703,1.2085306422868427
南昌,0.052525193129199926,1.4230335846303928
吉安,0.036943764912607535,0.6713870385213704
抚州,0.0754422073835378,0.6079693644816164
新余,0.0697606431672958,0.9043017703092489
萍乡,0.06263223465022497,0.46910865803721136
沧州,0.021608318260386006,1.0480336669644863
石家庄,0.046600996418618146,0.6878668852588692
三门峡,0.005850775942982667,0.7645175577482475
信阳,0.06980213724437057,1.2063005146734176
周口,0.034759791983559496,1.2676650263334686
安阳,0.03617823888899829,1.0598920447724225
洛阳,0.11657401465634576,-0.3747114019827378
漯河,0.04230742939310672,0.7637928695705757
郑州,0.04785936880250727,1.330421180323129
台州,0.02636382148509776,1.7247226566057035
嘉兴,0.046102349504381746,0.8249099100511454
宁波,0.06359672521118576,1.1876195522695796
杭州,0.03527675369876384,1.6719895849127744
温州,0.03988801431350608,2.0262677859983844
绍兴,0.024724737656642445,1.1689843611569046
舟山,0.0014877064340574897,0.8247660520519929
衢州,0.01336024150315962,0.9849280501296356
金华,0.03410269781786712,1.182411195597162
万宁,0.025628288316030146,0.6864664310686837
三亚,0.053990094944627365,0.6847548486453473
临高,0.05694448907674898,-0.21691570670501448
海口,0.045870398583560845,0.6039203685310707
澄迈,0.07550350470899081,-0.39764680097290883
陵水,-0.0007379637457838317,0.6569366722662286
仙桃,0.07832202164694058,1.3205138546406672
十堰,0.05767538138860966,1.7397368154616626
孝感,0.08536807020485382,2.0329616633081775
宜昌,0.0656017853853128,1.8192074794912574
恩施,0.037211530893841674,1.6336679056519907
武汉,0.09039839175844033,2.7125233565308493
荆州,0.08242724072184442,1.7265136038620372
荆门,0.05298516984021125,1.9473373420866908
黄冈,0.06697233949118177,2.2980479889651875
娄底,0.05710657360515303,0.8880447387250348
岳阳,0.06053726617825696,1.1260309165983768
怀化,0.020950266326179474,1.265114655973346
株洲,0.052869697803384935,0.867975140948247
永州,0.04829286228768759,0.8401018788019154
湘潭,0.04979560263027305,0.6792106408044221
郴州,0.05039964285126863,0.7088878820893957
长沙,0.056198077967081206,1.448185091472976
兰州,0.03364503262899746,1.0139885218178806
白银,0.04806656107713769,-0.5234694097127202
三明,0.00957040747555793,0.9270343643382728
厦门,0.032849625109381164,0.8829089103802101
宁德,0.04644106311072893,0.5420179080989285
泉州,0.03780560945907352,1.0723351285673102
漳州,0.03302177531783579,0.717146605142531
福州,0.03020830448666001,1.320739852572748
贵阳,0.10590074920574011,-0.33368161603698576
铜仁,0.04888295594568559,0.08717005939093876
黔南州,0.03096328993207753,0.36474161217803414
大连,0.03584126077317995,0.6489269405714984
朝阳,0.00699240976759008,0.6818551571773266
沈阳,0.046726367682541986,0.703289567333519
重庆,0.03872398598998817,2.0463807681321793
咸阳,0.05253350681560861,0.4070555796727716
安康,0.028806333572939845,0.8912706173007507
延安,0.011721214208582742,0.6972582493231985
西安,0.05522200392961607,1.0936784590991115
哈尔滨,0.09492205397485032,0.5675317552027628
大庆,0.037247838994302375,0.5606455744410179
牡丹江,0.07477311511419427,-0.038598814029132233
绥化,0.07136753907263726,0.46618951568505473
